gene_name,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pvals_adj_weighted,logfoldchanges_abs,significance,rank
ST14,-7.103456974,-5.048687935,0,0,0.01328903654,0.0000000002315255841,5.048687935,Downregulated,51.43345909
HCLS1,-7.121367931,-1.208042264,0,0,0.3754152824,0.0000000002038726752,1.208042264,Downregulated,12.373651
DOCK5,7.132430077,1.201174021,0,0,0.7940199336,0.0000000001886297155,1.201174021,Upregulated,12.34383975
SLC25A3,-7.136117935,-1.139475465,0,0,0.5215946844,0.0000000001841250158,1.139475465,Downregulated,11.72175726
TDP2,-7.138488293,-1.102535844,0,0,0.584717608,0.0000000001814567777,1.102535844,Downregulated,11.34874989
BLOC1S2,-7.138751507,-1.169017792,0,0,0.4451827243,0.0000000001814567777,1.169017792,Downregulated,12.03306959
ATP6V0D1,-7.14191246,-1.069878578,0,0,0.5780730897,0.0000000001779337544,1.069878578,Downregulated,11.02170819
TCEB1,-7.142439365,-1.015552998,0,0,0.6611295681,0.0000000001777256224,1.015552998,Downregulated,10.46257145
COTL1,-7.154028416,-1.221109271,0,0,0.5016611296,0.00000000016421592,1.221109271,Downregulated,12.62220843
INSR,7.171939373,1.901766062,0,0,0.5813953488,0.0000000001448723114,1.901766062,Upregulated,19.76144864
ISCU,-7.186162472,-1.187764049,0,0,0.4252491694,0.0000000001312675861,1.187764049,Downregulated,12.393049
PNPLA6,-7.204863548,-1.722192287,0,0,0.1926910299,0.0000000001147644408,1.722192287,Downregulated,18.06972695
CD37,-7.225671768,-1.689511418,0,0,0.1926910299,0,1.689511418,Downregulated,17.8370366
CD55,7.225671768,1.330106139,0,0,0.7142857143,0,1.330106139,Upregulated,14.04261115
FAM129B,-7.23462677,-1.15929985,0,0,0.5049833887,0,1.15929985,Downregulated,12.26977179
PPDPF,-7.238314629,-1.180374384,0,0,0.4817275748,0,1.180374384,Downregulated,12.50534496
MOB3B,-7.260703087,-2.170434713,0,0,0.1926910299,0,2.170434713,Downregulated,23.14503508
JUNB,-7.270448685,-1.235956788,0,0,0.4617940199,0,1.235956788,Downregulated,13.2156977
PPARGC1B,-7.280984402,-4.300326824,0,0,0.02990033223,0,4.300326824,Downregulated,46.1174117
PAPLN,7.28151083,1.842291713,0,0,0.5946843854,0,1.842291713,Upregulated,19.75792589
ABCG1,-7.285198689,-1.865921497,0,0,0.1827242525,0,1.865921497,Downregulated,20.03123413
ARRDC4,-7.288359165,-2.360594988,0,0,0.08305647841,0,2.360594988,Downregulated,25.36286156
DUSP4,7.289149284,1.908029556,0,0,0.584717608,0,1.908029556,Upregulated,20.50289973
OXSR1,7.298367977,1.046622515,0,0,0.7940199336,0,1.046622515,Upregulated,11.27640652
HMGA1,-7.304426193,-1.450680614,0,0,0.4186046512,0,1.450680614,Downregulated,15.6563501
NRBP1,-7.310747623,-1.055021524,0,0,0.584717608,0,1.055021524,Downregulated,11.40647729
VIMP,7.312064648,1.096216798,0,0,0.7740863787,0,1.096216798,Upregulated,11.85517301
