gene_name,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pvals_adj_weighted,logfoldchanges_abs,significance,rank
TUBGCP4,-2.632375956,-1.364369392,0.008478998437,0.04990468248,0.06097560976,0.2502526592,1.364369392,Downregulated,1.776216168
FAM13A,-2.63329649,-1.752193928,0.008456050393,0.04982715474,0.0487804878,0.2498638876,1.752193928,Downregulated,2.28229201
ARL2,-2.633910179,-1.468010902,0.00844078257,0.04978035147,0.07317073171,0.2496291873,1.468010902,Downregulated,1.912733122
VNN1,2.641887903,1.391702175,0.008244532432,0.04873572839,0.2195121951,0.2443908071,1.391702175,Upregulated,1.826125542
PIEZO1,-2.646490574,-1.311487913,0.008133177745,0.04817525505,0.05284552846,0.2415802503,1.311487913,Downregulated,1.727460374
HNRNPA1L2,-2.648024797,-1.031005383,0.0080963598,0.0480409149,0.08943089431,0.2409065864,1.031005383,Downregulated,1.359265877
GABPB2,-2.648024797,-1.007818818,0.0080963598,0.0480409149,0.08536585366,0.2409065864,1.007818818,Downregulated,1.328696972
TSTD1,-2.652320385,-1.038225293,0.007994062027,0.04757236912,0.07317073171,0.2385570108,1.038225293,Downregulated,1.373203721
USP20,-2.652320385,-1.131249309,0.007994062027,0.04757236912,0.1016260163,0.2385570108,1.131249309,Downregulated,1.496241491
ACTR3B,-2.655388832,-1.270058513,0.007921702401,0.04723827685,0.0406504065,0.2368816674,1.270058513,Downregulated,1.683724131
TRABD2A,-2.6572299,-2.097004414,0.007878568732,0.04700856287,0.04471544715,0.2357297407,2.097004414,Downregulated,2.784450745
NBEAL2,-2.658150434,-1.505586386,0.007857080889,0.04689407646,0.05284552846,0.2351556357,1.505586386,Downregulated,2.000746667
MED12,-2.661525726,-1.125763893,0.007778740579,0.04652184304,0.06504065041,0.2332890293,1.125763893,Downregulated,1.499903742
DENND1C,-2.66305995,-1.538222313,0.007743363275,0.04635105416,0.04471544715,0.2324325891,1.538222313,Downregulated,2.051896863
LSR,-2.665821552,-1.357025385,0.007680047285,0.04605317766,0.05691056911,0.2309388539,1.357025385,Downregulated,1.813990653
POGLUT1,-2.668276072,-1.212499142,0.007624156371,0.04582585498,0.07723577236,0.2297989186,1.212499142,Downregulated,1.623402277
GPR171,-2.672571898,-2.5659132,0.007527224032,0.04535019018,0.0243902439,0.2274136438,2.5659132,Downregulated,3.447101389
ATG4C,-2.677788258,-1.521182299,0.007411006977,0.04483549266,0.04471544715,0.2248326351,1.521182299,Downregulated,2.051128827
GRB10,2.680549622,2.461464643,0.007350134156,0.04453329425,0.2032520325,0.2233172271,2.461464643,Upregulated,3.326214532
STX17,-2.68239069,-1.183171868,0.007309801866,0.04434163655,0.07723577236,0.2223561379,1.183171868,Downregulated,1.601054308
IL21R,-2.683618069,-1.465324402,0.007283024105,0.04424502248,0.06504065041,0.2218716558,1.465324402,Downregulated,1.984247909
AGBL5,2.688527584,1.87411046,0.007176791114,0.04367773649,0.2601626016,0.2190269362,1.87411046,Upregulated,2.548302725
RP11-1084J3.4,-2.688834429,-1.714147806,0.007170197968,0.04366367866,0.05284552846,0.2189564416,1.714147806,Downregulated,2.331034766
PLAU,-2.689754963,-2.722097874,0.007150451136,0.0435694554,0.0162601626,0.2184839484,2.722097874,Downregulated,3.704279426
HLA-DMB,-2.696505308,-3.643800974,0.007007126431,0.0428241288,0.008130081301,0.2147464241,3.643800974,Downregulated,4.985854643
CST7,-2.700187445,-1.244924188,0.006930041571,0.04248036306,0.07723577236,0.2130225721,1.244924188,Downregulated,1.707801666
ZNF487,2.701414824,1.535688281,0.006904516408,0.04238761834,0.2845528455,0.2125574932,1.535688281,Upregulated,2.108132957
CLYBL,-2.701414824,-1.184571505,0.006904516408,0.04238761834,0.05691056911,0.2125574932,1.184571505,Downregulated,1.626133545
AC104695.3,2.704176426,2.932373047,0.006847393343,0.04207494137,0.174796748,0.2109895393,2.932373047,Upregulated,4.034876345
SLC22A15,2.70509696,1.103359461,0.006828446899,0.04198382852,0.3943089431,0.2105326436,1.103359461,Upregulated,1.519235458
LIPA,-2.705710649,-2.411238432,0.00681584212,0.04191897109,0.05284552846,0.2102074087,2.411238432,Downregulated,3.32169647
LINC00649,-2.707551718,-1.217319012,0.006778153137,0.04169975442,0.07723577236,0.209108122,1.217319012,Downregulated,1.679737727
CCDC77,-2.709699392,-1.014423251,0.006734419453,0.04150584758,0.1016260163,0.2081357543,1.014423251,Downregulated,1.40182207
FGFR1,-2.710006237,-1.289377809,0.006728192532,0.04149255576,0.08943089431,0.2080691009,1.289377809,Downregulated,1.781958573
CRYBG3,-2.716143131,-1.31079793,0.006604736084,0.04085478133,0.06910569106,0.2048709091,1.31079793,Downregulated,1.820379944
ZNF777,-2.7179842,-1.235253215,0.006568098434,0.04066516577,0.05691056911,0.2039200605,1.235253215,Downregulated,1.71796232
DCPS,-2.721052647,-1.019077301,0.006507441681,0.04035088838,0.09756097561,0.2023440811,1.019077301,Downregulated,1.420743459
AC093673.5,-2.721973181,-1.060288906,0.006489343164,0.04026315534,0.07723577236,0.2019041338,1.060288906,Downregulated,1.479200776
ZNF180,-2.729030371,-1.356118679,0.006352085331,0.03958016984,0.04471544715,0.198479226,1.356118679,Downregulated,1.901986752
RAI14,2.730871439,1.653619885,0.006316711304,0.03938382571,0.2886178862,0.1974946362,1.653619885,Upregulated,2.322810252
PPP2R2B,-2.735167265,-2.070894718,0.006234860469,0.03894495565,0.0325203252,0.1952938728,2.070894718,Downregulated,2.919027137
TBC1D4,-2.739462852,-1.261433125,0.00615396572,0.03855779136,0.06910569106,0.1933523938,1.261433125,Downregulated,1.78352497
CHI3L1,-2.742224455,-1.619392037,0.006102462312,0.03828215434,0.1178861789,0.1919701809,1.619392037,Downregulated,2.294684396
ATP13A1,-2.7425313,-1.142806411,0.006096763742,0.03825817765,0.05691056911,0.1918499471,1.142806411,Downregulated,1.619671779
RNF217,-2.7425313,-2.195989609,0.006096763742,0.03825817765,0.0325203252,0.1918499471,2.195989609,Downregulated,3.112322755
CEACAM21,-2.746520281,-2.360523701,0.006023117269,0.03787764185,0.03658536585,0.1899417074,2.360523701,Downregulated,3.355760779
ZNF701,-2.752350092,-1.020341277,0.005916921452,0.03730185361,0.08130081301,0.1870543523,1.020341277,Downregulated,1.457322414
PLXNA1,-2.752963781,-1.491575122,0.005905841688,0.03725504342,0.0406504065,0.1868196173,1.491575122,Downregulated,2.131184798
