gene_name,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pvals_adj_weighted,logfoldchanges_abs,significance,rank
RP11-89K10.1,-2.463460207,-1.690785408,0.01376031984,0.04991911046,0.03,0.1513389951,1.690785408,Downregulated,2.200951436
ADAM15,-2.468857527,-2.600748301,0.01355451524,0.04930409576,0.01111111111,0.1494744646,2.600748301,Downregulated,3.399482321
ILVBL,-2.469915867,-1.326334834,0.01351448181,0.04917602268,0.04,0.1490861874,1.326334834,Downregulated,1.735173037
NLRC4,-2.473514318,-1.100808144,0.01337914849,0.04870965705,0.04666666667,0.1476723139,1.100808144,Downregulated,1.444684016
AREG,-2.476477623,-25.84394073,0.01326859835,0.04837628453,0,0.1466616336,25.84394073,Downregulated,33.99427946
CENPN,-2.478065014,-1.033356309,0.01320970787,0.04817018853,0.05,0.1460368155,1.033356309,Downregulated,1.361159306
CHCHD6,-2.478382587,-1.628673434,0.01319795754,0.04813594963,0.02555555556,0.145933014,1.628673434,Downregulated,2.145826853
SYNM,-2.482509851,-1.026257753,0.01304604216,0.04764715773,0.05,0.1444511512,1.026257753,Downregulated,1.356674779
TPRN,-2.483674049,-1.146694303,0.01300347481,0.04752865622,0.03888888889,0.144091892,1.146694303,Downregulated,1.517127549
CCL7,2.503358841,1.908645034,0.01230207106,0.04529792754,0.1966666667,0.1373290263,1.908645034,Upregulated,2.565069416
NBPF11,-2.504099846,-1.535705209,0.01227634139,0.04521135263,0.02777777778,0.1370665585,1.535705209,Downregulated,2.065143418
RP11-809N8.4,-2.512883902,-2.615261316,0.01197487541,0.04422894201,0.01333333333,0.1340881994,2.615261316,Downregulated,3.541831268
LINC00984,-2.513942242,-1.347519398,0.01193900087,0.04411242293,0.02666666667,0.1337349503,1.347519398,Downregulated,1.826480463
ZMAT1,-2.51669383,-1.631273866,0.01184617262,0.04384094524,0.02333333333,0.1329119156,1.631273866,Downregulated,2.21546581
LTA,-2.519127846,-1.852856755,0.01176458945,0.04355483015,0.02777777778,0.1320445049,1.852856755,Downregulated,2.52167074
SDSL,-2.519974709,-3.543761015,0.01173632973,0.04346599282,0.005555555556,0.1317751782,3.543761015,Downregulated,4.826072342
MFSD2A,2.520821333,1.37863636,0.01170813024,0.04338519798,0.29,0.1315302337,1.37863636,Upregulated,1.878610439
LIN9,-2.523043871,-1.105767012,0.01163439234,0.04314332322,0.05333333333,0.1307969457,1.105767012,Downregulated,1.509467515
ATP8B2,-2.523467064,-1.314447761,0.01162039384,0.04310709417,0.03,0.1306871107,1.314447761,Downregulated,1.79481434
FLT3LG,-2.523890495,-1.553586721,0.01160641028,0.04307873526,0.02666666667,0.1306011354,1.553586721,Downregulated,2.121790955
RP11-706O15.1,-2.526430368,-1.403814077,0.01152282204,0.04282305792,0.02666666667,0.1298260024,1.403814077,Downregulated,1.92087014
CNN2,-2.537436962,-1.02129066,0.0111667478,0.0416668474,0.05,0.1263207368,1.02129066,Downregulated,1.409594926
TMEM173,-2.537648678,-1.264222145,0.01115999707,0.04164928067,0.03666666667,0.1262674801,1.264222145,Downregulated,1.745122761
AP000304.12,2.541987658,2.535225391,0.01102240364,0.0411885567,0.1588888889,0.1248707103,2.535225391,Upregulated,3.511853603
ABLIM3,2.545268536,3.222002983,0.01091937235,0.04086346614,0.1355555556,0.1238851383,3.222002983,Upregulated,4.474282122
ZNF641,-2.545691967,-1.070904493,0.01090614053,0.04082893741,0.05,0.1237804581,1.070904493,Downregulated,1.487520527
IFNG-AS1,-2.547067642,-2.174409151,0.01086323547,0.04068325582,0.02777777778,0.1233387974,2.174409151,Downregulated,3.023699224
RRAD,2.549184322,3.407904625,0.01079752059,0.0404520121,0.1255555556,0.1226377394,3.407904625,Upregulated,4.747415179
ATP9A,-2.5524652,-4.298461437,0.01069636081,0.04013202137,0.004444444444,0.1216676285,4.298461437,Downregulated,6.002839933
MT1M,2.554158449,1.849791288,0.01064447974,0.03998151308,0.1955555556,0.1212113348,1.849791288,Upregulated,2.586268624
VASH1,-2.55574584,-1.651289344,0.01059604461,0.03982159585,0.02555555556,0.1207265162,1.651289344,Downregulated,2.311609139
GOLGA8A,-2.56262517,-1.130818486,0.0103884166,0.03914230967,0.05,0.1186671348,1.130818486,Downregulated,1.591461413
RETSAT,-2.566964149,-1.170313716,0.01025932066,0.03872746338,0.03222222222,0.1174094518,1.170313716,Downregulated,1.65246067
PLEKHF1,-2.567493439,-1.171305299,0.01024367535,0.03868989498,0.03555555556,0.1172955562,1.171305299,Downregulated,1.654354473
ATPAF1,-2.56908083,-1.17718339,0.01019686677,0.03853451709,0.03888888889,0.1168244995,1.17718339,Downregulated,1.664713984
TNFSF8,-2.571303368,-1.332860589,0.01013165467,0.03830937971,0.03555555556,0.116141954,1.332860589,Downregulated,1.888256772
PVRL1,-2.575113297,-1.425632358,0.01002072605,0.03791807028,0.02444444444,0.1149556272,1.425632358,Downregulated,2.026042804
CTD-2228K2.5,-2.57765317,-1.170247316,0.00994737586,0.03771751888,0.04222222222,0.1143476186,1.170247316,Downregulated,1.665796598
TNFSF15,-2.579981565,-3.378986835,0.00988055875,0.03751300406,0.01555555556,0.1137275942,3.378986835,Downregulated,4.817820779
LLGL2,-2.582098246,-1.106485844,0.009820163228,0.03729064777,0.06,0.1130534801,1.106485844,Downregulated,1.580504459
CD33,-2.58506155,-1.117037416,0.009736162186,0.03702683728,0.03111111111,0.1122536899,1.117037416,Downregulated,1.599020498
ARHGEF18,-2.588448048,-1.050227165,0.009640945671,0.03671952183,0.04111111111,0.1113220064,1.050227165,Downregulated,1.507184138
EAF2,-2.59151721,-1.054741979,0.009555373691,0.03646854339,0.04555555556,0.110561119,1.054741979,Downregulated,1.516805014
PTPRM,-2.593951464,-1.394379735,0.009487988521,0.03626567491,0.04333333333,0.1099460857,1.394379735,Downregulated,2.008609915
KIAA1671,-2.597020626,-1.04339087,0.009403628859,0.0359972184,0.05222222222,0.1091322103,1.04339087,Downregulated,1.506375804
PAQR5,-2.598396301,-2.598733187,0.009366030132,0.03590722496,0.02222222222,0.1088593786,2.598733187,Downregulated,3.754696895
SNAI3,-2.604217291,-1.829514861,0.00920843837,0.03538956484,0.03222222222,0.1072899964,1.829514861,Downregulated,2.654854346
SLC7A8,-2.604640484,-3.238556862,0.009197070003,0.03535920483,0.01,0.1071979544,3.238556862,Downregulated,4.700757221
PARD6B,-2.605804682,-1.252390265,0.009165871556,0.03526585946,0.03444444444,0.1069149607,1.252390265,Downregulated,1.819279118
RGAG4,-2.607709646,-1.466535211,0.009115023277,0.03509671286,0.02,0.1064021615,1.466535211,Downregulated,2.133417984
TBKBP1,-2.607921362,-4.765752316,0.009109389042,0.03508164408,0.002222222222,0.1063564778,4.765752316,Downregulated,6.933788654
TNFRSF10B,2.614059687,1.200924397,0.008947342813,0.03456858542,0.2955555556,0.1048010458,1.200924397,Upregulated,1.754932908
LINC00847,-2.626865387,-1.141805172,0.008617543611,0.03349113213,0.03666666667,0.1015345473,1.141805172,Downregulated,1.684242751
ENC1,-2.634802818,-1.924819708,0.008418619199,0.03279931363,0.03111111111,0.09943717185,1.924819708,Downregulated,2.856692768
TBC1D32,-2.635120153,-1.068704009,0.008410748347,0.03278744499,0.05222222222,0.09940118987,1.068704009,Downregulated,1.586269265
AC022816.2,2.636496067,1.425922155,0.008376717321,0.03267977664,0.2422222222,0.09907477341,1.425922155,Upregulated,2.118522377
RAB39A,-2.637130976,-1.888187051,0.008361052276,0.03264364876,0.02666666667,0.09896524505,1.888187051,Downregulated,2.806226057
